Tipo_de_Ca,X,Y,Uso_del_Su,pH_seco,Cond_Seco,T_Seco,STD_seco,Sal_seco,CE,SAL
Aljibe,1187851.44,1796099.974,Forestal,7.3,1449.0,32.4,710.6,0.79695,1449.0,0.797
Aljibe,1186582.607,1797347.32,Forestal,7.3,720.7,32.2,353.4,0.396385,720.7,0.3964
Pozo,1129966.0,1764620.0,Forestal,8.2,1882.0,33.0,923.0,1.0351,1882.0,1.0351
Pozo,1130774.0,1764461.0,Forestal,7.7,2546.0,33.0,1248.6513,1.4003,2546.0,1.4003
Pozo,1197662.714,1750916.598,Urbano,7.79,1800.0,0.0,882.786,0.99,1800.0,0.99
Pozo,1186303.734,1736809.341,Forestal,7.23,1308.0,31.3,641.5,0.7194,1308.0,0.7194
Pozo,1126748.0,1764854.0,Urbano,8.43,2045.0,32.0,1002.942619,1.12475,2045.0,1.1247
Pozo,1195121.218,1787993.546,Forestal,7.31,7882.0,35.0,3865.620402,4.3351,7882.0,4.3351
Pozo,1178807.3,1794967.707,Urbano,7.08,51260.0,33.2,25139.774399,28.193,51260.0,28.193
Pozo,1187010.551,1791044.344,Forestal,7.62,9523.0,33.8,4667.0,5.408,9523.0,5.408
Pozo,1129411.06,1762648.638,Forestal,8.25,1874.0,32.4,918.5,1.002,1874.0,1.002
Aljibe,1220919.71,1846142.603,Otro,8.03,11090.0,28.3,5426.0,6.356,11090.0,6.356
Aljibe,1226595.278,1847093.147,Otro,8.25,4781.0,28.6,2343.0,2.61,4781.0,2.61
Aljibe,1224028.584,1846395.252,Otro,7.87,12830.0,26.8,6286.0,7.421,12830.0,7.421
Aljibe,1143104.334,1715528.759,Forestal,6.78,1071.0,29.9,525.5,0.58,1071.0,0.58
Aljibe,1142601.068,1715660.683,Forestal,6.9,982.6,29.2,482.0,0.535,982.6,0.535
Manantial,1142106.602,1715613.717,Forestal,7.11,616.9,28.2,302.8,0.35,616.9,0.35
Aljibe,1143644.014,1716946.024,Forestal,7.81,746.3,33.1,366.2,0.415,746.3,0.415
Pozo,1143802.548,1717288.581,Forestal,6.68,820.0,31.2,402.3,0.452,820.0,0.452
Pozo,1145020.786,1717847.789,Forestal,7.45,1025.0,0.0,502.8,0.557,1025.0,0.557
Manantial,1149544.758,1721481.116,Forestal,7.17,666.3,26.7,327.0,0.375,666.3,0.375
Pozo,1146249.132,1718397.11,Forestal,6.63,2546.0,31.2,1248.0,1.363,2546.0,1.363
Aljibe,1144362.532,1715395.423,Forestal,6.98,842.1,28.2,413.1,0.464,842.1,0.464
Aljibe,1223232.847,1837385.504,Forestal,7.26,1060.0,31.1,519.7,0.575,1060.0,0.575
Pozo,1217505.389,1835704.493,Forestal,7.35,1996.0,32.3,978.8,1.067,1996.0,1.067
Pozo,1205778.551,1802122.805,Forestal,7.16,7665.0,32.7,3757.0,4.293,7665.0,4.293
Aljibe,1202664.969,1804296.157,Forestal,7.47,6289.0,30.6,3082.0,3.48,6289.0,3.48
Aljibe,1168791.499,1732866.548,Ganadería,7.22,837.0,31.3,410.6,0.461,837.0,0.461
Aljibe,1168456.338,1733762.213,Ganadería,7.6,656.6,29.4,322.2,0.37,656.6,0.37
